id,institution,title,job_category,position_type,institution_type,aos,aoc,location,state,country,city,workload,vacancies,deadline,start_date,posted_date,status,url,scraped_date
31037,University of Texas at El Paso,Visiting Assistant Professor of Philosophy,Junior faculty / Fixed term,Visiting / Adjunct / Lecturer (Fixed-Term),Research University,Open,Open,"El Paso, Texas, United States",TX,United States,El Paso,Full time,1,"May 30, 2026, 11:59pm MST",Fall 2026,"Yesterday, 8:56pm UTC",active,https://philjobs.org/job/show/31037,2026-03-10T02:47:34.819073
31045,Worcester Polytechnic Institute,Visiting Assistant Teaching Professor in Philosophy and Religion,Junior faculty / Fixed term,Visiting / Adjunct / Lecturer (Fixed-Term),Research University,Environmental philosophy and religious studies,Environmental philosophy and religious studies,"Worcester, Massachusetts, United States",MA,United States,Worcester,Full time,1,No deadline specified (applications considered on an ongoing basis),August 2026,"Yesterday, 8:53pm UTC",active,https://philjobs.org/job/show/31045,2026-03-10T02:47:35.661051
31049,"Department of Philosophy, Smith College",Lecturers of Philosophy,Junior faculty / Fixed term,Visiting / Adjunct / Lecturer (Fixed-Term),Teaching College,AOS: Open,"The department has teaching needs in philosophy of mind, philosophy of language, and logic.","Northampton, Massachusetts, United States",MA,United States,Northampton,Full time,2,"March 28, 2026, 12:00am EST","July 1, 2026","Yesterday, 2:46pm UTC",active,https://philjobs.org/job/show/31049,2026-03-10T02:47:36.454435
31041,Law School Admission Council,Test Developer - Bilingual,"Other (non-academic) / Tenured, continuing or permanent",Other,Other,Open,Open,"Remote workOrganization based inNewtown, Pennsylvania, United States",PA,United States,Remote workOrganization based inNewtown,Full time,1,No deadline specified (applications considered on an ongoing basis),,"Yesterday, 2:45pm UTC",active,https://philjobs.org/job/show/31041,2026-03-10T02:47:37.173589
31033,"The Graduate Center, CUNY",Associate Professor – Ph.D. Program in Philosophy,"Senior faculty / Tenured, continuing or permanent",Tenured / Continuing / Permanent,Research University,Open,Open,"New York City, New York, United States",NY,United States,New York City,Full time,1,No deadline specified (applications considered on an ongoing basis),,"Yesterday, 2:42pm UTC",active,https://philjobs.org/job/show/31033,2026-03-10T02:47:37.979644
31009,"Center for Dewey Studies, Southern Illinois University Carbondale",Visiting Fellow,Visiting fellowship / Professorship / Fixed term,Postdoc / Fellowship,Research University,"Any area related to the life, work, or legacy of John Dewey",Open,"Carbondale, Illinois, United States",IL,United States,Carbondale,Part time,1,"January 11, 2027, 12:00am CST","August 17, 2026 or January 11, 2027","March 6, 2026, 4:33pm UTC",active,https://philjobs.org/job/show/31009,2026-03-10T02:47:38.696093
31025,"Department of Philosophy, University College London",Postdoctoral Research Fellow,Postdoc or similar / Fixed term,Postdoc / Fellowship,Research University,"Value theory (understood broadly to include ethics, political philosophy, jurisprudence, aesthetics, and moral psychology), history of philosophy, phenomenology, or philosophy of mind",Open,"London, England, United Kingdom",,United Kingdom,London,Full time,1,"April 2, 2026, 5:00pm BST",Fall 2026,"March 6, 2026, 4:31pm UTC",active,https://philjobs.org/job/show/31025,2026-03-10T02:47:39.409412
31029,"Department of Social Sciences and Human Inquiry, Truman State University",Assistant Professor of Philosophy,"Junior faculty / Tenured, continuing or permanent",Tenured / Continuing / Permanent,Teaching College,Open,Open,"Kirksville, Missouri, United States",MO,United States,Kirksville,Full time,1,No deadline specified (applications considered on an ongoing basis),August 2026,"March 6, 2026, 4:26pm UTC",active,https://philjobs.org/job/show/31029,2026-03-10T02:47:40.127658
31017,"Cognitive Science, Barnard College, Columbia University",Term Lecturer,Visiting fellowship / Professorship / Fixed term,Visiting / Adjunct / Lecturer (Fixed-Term),Teaching College,Philosophy of Cognitive Science,Open,"New York, New York, United States",NY,United States,New York,Full time,1,No deadline specified (applications considered on an ongoing basis),Fall 2026,"March 4, 2026, 5:15pm UTC",active,https://philjobs.org/job/show/31017,2026-03-10T02:47:40.832898
31021,"Department of Philosophy and Religious Studies, Peking University",Assistant Professor/ Tenure-Track Associate Professor/ Tenured Associate Professor/ Professor,Faculty (open rank) / Contract type open,Other,Research University,"Open but Marxist Philosophy, Chinese Philosophy, Foreign Philosophy, Logic, Ethics, Aesthetics, Philosophy of Science and Technology, Philosophy of Religion, Political Philosophy preferred","Open but Marxist Philosophy, Chinese Philosophy, Foreign Philosophy, Logic, Ethics, Aesthetics, Philosophy of Science and Technology, Philosophy of Religion, Political Philosophy preferred","Beijing, Beijing, China",,China,Beijing,Full time,5,"September 20, 2026, 11:59pm +08:30",,"March 4, 2026, 5:15pm UTC",active,https://philjobs.org/job/show/31021,2026-03-10T02:47:41.542979
30993,"Department of Philosophy, University of Warwick",Research Fellow,Postdoc or similar / Fixed term,Postdoc / Fellowship,Research University,"Mathematics, Computing, logic, philosophy","Mathematics, Computing, logic, philosophy","Coventry, England, United Kingdom",,United Kingdom,Coventry,Full time,1,"April 19, 2026, 11:55pm BST",1st October 2026,"March 3, 2026, 10:16pm UTC",active,https://philjobs.org/job/show/30993,2026-03-10T02:47:42.254189
30997,"Department of Philosophy, University of Bristol",PhD in Political and Social Philosophy,Graduate fellowship / Fixed term,Other,Research University,Social and Political Philosophy,Open,"Cotham House , Bristol, United Kingdom",,United Kingdom,Cotham House,Full time,2,"April 3, 2026, 11:59pm BST",September 2026,"March 3, 2026, 10:15pm UTC",active,https://philjobs.org/job/show/30997,2026-03-10T02:47:43.085909
31001,Minorities and Philosophy International,Minorities and Philosophy International Organizer,Other (non-academic) / Fixed term,Other,Other,Open,Open,"Remote workOrganization based inPrinceton, New Jersey, United States",NJ,United States,Remote workOrganization based inPrinceton,Part time,2,"March 29, 2026, 11:59pm EST",Summer 2026,"March 3, 2026, 10:14pm UTC",active,https://philjobs.org/job/show/31001,2026-03-10T02:47:43.796351
31005,"Department of Philosophy, Colby College",Visiting Assistant Professor in Philosophy,Visiting fellowship / Professorship / Fixed term,Visiting / Adjunct / Lecturer (Fixed-Term),Teaching College,Ethics of AI and/or Modern Philosophy,Modern Philosophy; Ethics of AI; Philosophy of Race; Latin American Philosophy; Moral Philosophy; Political Philosophy,"Waterville, Maine, United States",ME,United States,Waterville,Full time,1,No deadline specified (applications considered on an ongoing basis),"September 1, 2026","March 3, 2026, 10:12pm UTC",active,https://philjobs.org/job/show/31005,2026-03-10T02:47:44.585681
31013,"Department of Philosophy, Stanford University",Lecturer in Philosophy and COLLEGE (Intro Gen Ed) - 3 yr,Junior faculty / Fixed term,Visiting / Adjunct / Lecturer (Fixed-Term),Research University,Core Philosophy and Ethics,Open,"Stanford, Ca, United States",CA,United States,Stanford,Full time,1,"April 12, 2026, 11:59pm EST","August 1, 2026","March 3, 2026, 10:12pm UTC",active,https://philjobs.org/job/show/31013,2026-03-10T02:47:45.302398
30989,"Department of Philosophy & Religion, Clemson University",Visiting Assistant Professor,Junior faculty / Fixed term,Visiting / Adjunct / Lecturer (Fixed-Term),Research University,Philosophy of Law,Open,"Clemson, South Carolina, United States",SC,United States,Clemson,Full time,1,"March 23, 2026, 11:59pm EST","August 15, 2026","February 27, 2026, 10:16pm UTC",active,https://philjobs.org/job/show/30989,2026-03-10T02:47:46.097413
30985,"Department of Philosophy at the Faculty of Social Sciences, University of Salzburg",Full Professor in “Philosophy of Physics”,"Faculty (open rank) / Tenured, continuing or permanent",Tenured / Continuing / Permanent,Research University,Philosophy of Physics,Philosophy of Physics,"Salzburg, Salzburg, Austria",,Austria,Salzburg,Full time,1,"March 18, 2026, 11:59pm CET",Expected start date: as soon as possible,"February 27, 2026, 10:15pm UTC",active,https://philjobs.org/job/show/30985,2026-03-10T02:47:46.814911
30957,University of Scranton,"Visiting Assistant Professor, Philosophy",Visiting fellowship / Professorship / Fixed term,Visiting / Adjunct / Lecturer (Fixed-Term),Teaching College,Ethics (broadly construed),Open,"Scranton, Pennsylvania, United States",PA,United States,Scranton,Full time,1,"April 23, 2026, 11:59pm EST",,"February 26, 2026, 10:24pm UTC",active,https://philjobs.org/job/show/30957,2026-03-10T02:47:47.541678
30973,International Centre for Neuroscience and Ethics (CINET),Call for applications for a pre-doctoral scholarship in Neuroscience and Humanities,Graduate fellowship / Fixed term,Other,Other,Neuroscience and humanities,Neuroscience and humanities,"España, Spain",,Spain,España,Full time,1,"May 15, 2026, 11:59pm CET",,"February 26, 2026, 10:19pm UTC",active,https://philjobs.org/job/show/30973,2026-03-10T02:47:48.247816
30977,"Centre for Philosophy of Natural and Social Science, London School of Economics",CPNSS Research Officer in Gauge and the Edge of the Universe (Philosophy of Physics 1),Postdoc or similar / Fixed term,Postdoc / Fellowship,Research University,"Philosophy or Foundations of Physics, philosophy of physics, philosophy gauge physics, and boundary conditions",Open,"London, England, United Kingdom",,United Kingdom,London,Full time,1,"March 15, 2026, 11:59pm BST",01/09/26,"February 26, 2026, 10:18pm UTC",active,https://philjobs.org/job/show/30977,2026-03-10T02:47:49.025880
