date,new_jobs_count,aos_Ethics,aos_History of Philosophy,aos_Metaphysics & Epistemology,aos_Non-Western & Cross-Cultural Philosophy,aos_Open,"aos_Science, Logic, & Mathematics",aos_Social & Political Philosophy,aos_Value Theory / Aesthetics,postype_Tenure-Track,postype_Postdoc_-_Fellowship,postype_Visiting_-_Adjunct_-_Lecturer_(Fixed-Term),postype_Tenured_-_Continuing_-_Permanent,postype_Other,jobcat_Administration (non-academic) / Fixed term,jobcat_Administration (non-academic) / Tenure-track or similar,"jobcat_Administration (non-academic) / Tenured, continuing or permanent",jobcat_Faculty (open rank) / Contract type open,jobcat_Faculty (open rank) / Fixed term,jobcat_Faculty (open rank) / Tenure-track or similar,"jobcat_Faculty (open rank) / Tenured, continuing or permanent",jobcat_Graduate fellowship / Fixed term,jobcat_Junior faculty / Fixed term,jobcat_Junior faculty / Tenure-track or similar,"jobcat_Junior faculty / Tenured, continuing or permanent",jobcat_Other (non-academic) / Fixed term,"jobcat_Other (non-academic) / Tenured, continuing or permanent",jobcat_Postdoc or similar / Contract type open,jobcat_Postdoc or similar / Fixed term,jobcat_Research assistant / Fixed term,jobcat_Senior faculty / Tenure-track or similar,"jobcat_Senior faculty / Tenured, continuing or permanent",jobcat_Visiting fellowship / Professorship / Fixed term,insttype_Other,insttype_Research University,insttype_Teaching College,state_AL,state_AZ,state_CA,state_CO,state_CT,state_DE,state_FL,state_GA,state_IA,state_IL,state_IN,state_KS,state_KY,state_MA,state_MD,state_ME,state_MI,state_MN,state_MO,state_MS,state_NC,state_NE,state_NJ,state_NY,state_OH,state_OK,state_PA,state_RI,state_SC,state_SD,state_TX,state_UT,state_VA,state_WA,state_WI
2026-03-10,100,38,16,15,2,21,28,19,2,11,32,25,16,16,0,1,1,3,1,4,3,10,13,7,3,1,3,0,28,0,3,7,12,8,70,22,1,0,5,2,1,0,1,3,1,3,3,0,0,7,2,1,1,0,1,1,4,1,4,11,0,1,5,0,1,0,5,0,0,0,0
2026-03-16,7,2,2,1,0,2,2,1,0,2,3,2,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,2,0,0,0,1,0,5,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
2026-03-21,18,5,3,6,1,3,9,5,0,1,9,6,1,1,1,0,0,0,0,0,0,0,5,1,0,1,0,0,7,1,0,1,1,1,14,3,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
2026-03-30,15,3,3,4,0,1,10,2,0,2,7,2,2,2,0,0,0,0,0,2,0,2,1,1,0,0,0,0,7,0,1,0,1,0,13,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
2026-04-06,10,3,0,0,1,4,1,1,1,1,4,1,2,2,0,0,1,0,0,0,0,1,2,0,2,0,0,0,4,0,0,0,0,1,8,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0
2026-04-13,5,1,1,1,0,1,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2026-04-27,20,5,2,1,0,7,9,0,1,1,8,8,2,1,0,0,0,0,0,0,0,3,5,1,1,0,0,1,5,0,0,1,3,0,17,3,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,2,0,1
2026-05-04,12,5,2,1,0,2,4,1,0,2,3,4,2,1,0,0,0,0,0,1,0,1,4,0,1,0,0,0,3,0,1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2026-05-11,5,1,1,2,0,1,2,1,0,0,3,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2026-05-18,8,3,0,1,0,3,1,3,0,0,2,5,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,2,1,4,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2026-05-25,3,1,0,1,0,1,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2026-06-01,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-08,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-15,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,1,2,1,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2026-06-22,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,2,0,0,1,1,0,0,0,0,3,0,0,0,1,10,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2026-06-29,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
